"Year","Month","Day","Latitude","Longitude","Measurement","Unit","Density.Range","Density.Class"
"2008","12","28",23.15,-144.69,0,"pieces/m3","0-0.0005","Very Low"
"2011","05","25",24.28,-143.99,0.00216,"pieces/m3","0.0005-0.005","Low"
"2011","07","04",18.97,-143.47,0.0108,"pieces/m3","0.005-1","Medium"
"2009","09","11",26.6528,-160.3025,3.136709,"pieces/m3","1-10","High"
"2005","02","26",21.42,-142.07,0,"pieces/m3","0-0.0005","Very Low"
"2007","10","25",22.76,-141.69,0,"pieces/m3","0-0.0005","Very Low"
"1972","10","05",27,-145.1,0,"pieces/m3","0-0.0005","Very Low"
"2004","11","02",19.43,-145.47,0.00432,"pieces/m3","0.0005-0.005","Low"
"2009","06","05",19.8,-143.03,0,"pieces/m3","0-0.0005","Very Low"
"2008","03","16",29.37,-139.91,0,"pieces/m3","0-0.0005","Very Low"
"2012","05","14",31.72,-144.77,0.056532,"pieces/m3","0.005-1","Medium"
"2009","07","06",15.94,-162.49,0,"pieces/m3","0-0.0005","Very Low"
"2005","12","21",20.35,-154.67,0,"pieces/m3","0-0.0005","Very Low"
"2004","10","19",24.28,-143.99,0.00216,"pieces/m3","0.0005-0.005","Low"
"2009","05","18",27.33,-142.18,0.003324,"pieces/m3","0.0005-0.005","Low"
"2006","04","26",33.1,-149.63,0.00216,"pieces/m3","0.0005-0.005","Low"
"2012","07","03",19.96,-146.64,0.398492,"pieces/m3","0.005-1","Medium"
"2010","10","27",20.14,-148.94,0,"pieces/m3","0-0.0005","Very Low"
"2003","11","11",25.35,-141.11,0,"pieces/m3","0-0.0005","Very Low"
"2005","12","06",24.52,-148.47,0,"pieces/m3","0-0.0005","Very Low"
"1972","04","29",34.95,-141,0.023,"pieces/m3","0.005-1","Medium"
"2012","10","22",24.52,-148.47,0.494368,"pieces/m3","0.005-1","Medium"
"2003","11","08",25.28,-147,0,"pieces/m3","0-0.0005","Very Low"
"2011","02","26",25.28,-147,2.712124,"pieces/m3","1-10","High"
"1973","02","13",30,-144,0.004,"pieces/m3","0.0005-0.005","Low"
"2011","04","26",32.76,-150.21,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","27",19.96,-146.64,0.38872,"pieces/m3","0.005-1","Medium"
"2011","03","28",20.14,-148.94,0,"pieces/m3","0-0.0005","Very Low"
"2010","10","18",25.35,-141.11,0,"pieces/m3","0-0.0005","Very Low"
"2008","05","16",24.03,-138.44,0,"pieces/m3","0-0.0005","Very Low"
"2012","06","22",24.52,-148.47,0.012792,"pieces/m3","0.005-1","Medium"
"2010","10","16",25.28,-147,2.712124,"pieces/m3","1-10","High"
"2007","03","04",19.24,-143.41,0,"pieces/m3","0-0.0005","Very Low"
"2004","04","19",20.57,-154.86,0.016616,"pieces/m3","0.005-1","Medium"
"2009","05","31",24.03,-138.44,0,"pieces/m3","0-0.0005","Very Low"
"2007","08","07",25.68,-143.09,0,"pieces/m3","0-0.0005","Very Low"
"2010","10","06",31.06,-143.46,0.00216,"pieces/m3","0.0005-0.005","Low"
"2012","04","27",32.76,-150.21,0.018184,"pieces/m3","0.005-1","Medium"
"2009","07","03",18.46,-157.58,0.0108,"pieces/m3","0.005-1","Medium"
"2006","07","20",19.24,-143.41,0,"pieces/m3","0-0.0005","Very Low"
"2006","04","13",32.35,-155.1,0,"pieces/m3","0-0.0005","Very Low"
"2003","12","25",32.84,-147.81,0,"pieces/m3","0-0.0005","Very Low"
"2003","11","23",20.57,-154.86,0,"pieces/m3","0-0.0005","Very Low"
"2007","02","14",25.68,-143.09,0,"pieces/m3","0-0.0005","Very Low"
"2004","10","22",24.52,-148.47,0,"pieces/m3","0-0.0005","Very Low"
"2009","10","19",31.06,-143.46,0.00216,"pieces/m3","0.0005-0.005","Low"
"2012","03","31",16.28,-160.37,0,"pieces/m3","0-0.0005","Very Low"
"2003","04","28",19.2,-154.86,0,"pieces/m3","0-0.0005","Very Low"
"2010","06","05",15.94,-162.49,0,"pieces/m3","0-0.0005","Very Low"
"2011","05","15",28.04,-140.48,0,"pieces/m3","0-0.0005","Very Low"
"2008","12","20",27.33,-142.18,0.003324,"pieces/m3","0.0005-0.005","Low"
"2005","03","01",19.43,-145.47,0.00432,"pieces/m3","0.0005-0.005","Low"
"2004","12","19",33.56,-152.27,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","14",31.72,-144.77,0.125584,"pieces/m3","0.005-1","Medium"
"2012","10","19",25.68,-143.09,1.125396,"pieces/m3","1-10","High"
"2011","02","10",31.06,-143.46,0.00216,"pieces/m3","0.0005-0.005","Low"
"2008","02","01",32.5498,-165.8103,0.451976,"pieces/m3","0.005-1","Medium"
"2009","03","10",15.94,-162.49,0,"pieces/m3","0-0.0005","Very Low"
"2007","02","28",22.76,-141.69,0,"pieces/m3","0-0.0005","Very Low"
"2009","10","30",25.28,-147,2.712124,"pieces/m3","1-10","High"
"2005","02","20",26.05,-141.2,0.00216,"pieces/m3","0.0005-0.005","Low"
"2010","10","09",28.04,-140.48,0,"pieces/m3","0-0.0005","Very Low"
"2011","11","02",19.95,-156.16,0,"pieces/m3","0-0.0005","Very Low"
"2003","11","19",19.73,-146.63,0,"pieces/m3","0-0.0005","Very Low"
"2007","02","18",23.65,-149.74,0,"pieces/m3","0-0.0005","Very Low"
"2003","12","22",33.56,-152.27,0,"pieces/m3","0-0.0005","Very Low"
"2011","12","14",31.72,-144.77,0,"pieces/m3","0-0.0005","Very Low"
"2008","01","23",22.0117,-160.8771,0.041997,"pieces/m3","0.005-1","Medium"
"2004","03","31",25.35,-141.11,0.01296,"pieces/m3","0.005-1","Medium"
"2011","10","15",24.28,-143.99,0.00216,"pieces/m3","0.0005-0.005","Low"
"2009","02","15",26.21,-144.53,0.060476,"pieces/m3","0.005-1","Medium"
"2012","07","06",20.61,-155,0.46908,"pieces/m3","0.005-1","Medium"
"2003","11","13",21.42,-142.07,0.00216,"pieces/m3","0.0005-0.005","Low"
"2005","12","13",22.76,-141.69,0,"pieces/m3","0-0.0005","Very Low"
"2008","10","20",26.21,-144.53,0.060476,"pieces/m3","0.005-1","Medium"
"2005","12","10",26.05,-141.2,0.00216,"pieces/m3","0.0005-0.005","Low"
"2009","07","12",34.4678,-176.4583,0.334819,"pieces/m3","0.005-1","Medium"
"2003","02","12",19.47,-156.98,0.001876,"pieces/m3","0.0005-0.005","Low"
"2008","04","24",23.65,-149.74,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","29",20.61,-155,2.653828,"pieces/m3","1-10","High"
"2010","10","13",23.15,-144.69,0,"pieces/m3","0-0.0005","Very Low"
"2008","05","13",26.21,-144.53,0.060476,"pieces/m3","0.005-1","Medium"
"2005","07","12",26.05,-141.2,0.00216,"pieces/m3","0.0005-0.005","Low"
"2011","07","15",16.28,-160.37,0,"pieces/m3","0-0.0005","Very Low"
"2003","08","16",33.26,-156.98,0.0144,"pieces/m3","0.005-1","Medium"
"2002","04","01",20.85,-157.7,0.004112,"pieces/m3","0.0005-0.005","Low"
"2004","10","29",21.42,-142.07,0,"pieces/m3","0-0.0005","Very Low"
"2009","10","26",23.15,-144.69,0,"pieces/m3","0-0.0005","Very Low"
"2007","08","30",26.21,-144.53,0.060476,"pieces/m3","0.005-1","Medium"
"2012","05","17",28.54,-140.09,0.002164,"pieces/m3","0.0005-0.005","Low"
"2001","11","17",16.28,-160.37,0,"pieces/m3","0-0.0005","Very Low"
"2004","04","04",21.42,-142.07,0,"pieces/m3","0-0.0005","Very Low"
"2009","05","20",23.15,-144.69,0,"pieces/m3","0-0.0005","Very Low"
"2006","06","06",26.05,-141.2,0.00216,"pieces/m3","0.0005-0.005","Low"
"2011","10","12",28.04,-140.48,0,"pieces/m3","0-0.0005","Very Low"
"2003","12","19",33.26,-156.98,0,"pieces/m3","0-0.0005","Very Low"
"2010","11","17",15.25,-157.55,0,"pieces/m3","0-0.0005","Very Low"
"2007","11","24",19.3403,-156.087,0.631646,"pieces/m3","0.005-1","Medium"
"2007","07","17",33.06,-148.13,0,"pieces/m3","0-0.0005","Very Low"
"2009","02","17",25.35,-141.11,0,"pieces/m3","0-0.0005","Very Low"
"2004","04","03",22.76,-141.69,0,"pieces/m3","0-0.0005","Very Low"
"2004","08","16",29.98,-140,0,"pieces/m3","0-0.0005","Very Low"
"2011","12","10",33.47,-151.63,0.00864,"pieces/m3","0.005-1","Medium"
"2004","04","21",16.88,-159.15,0,"pieces/m3","0-0.0005","Very Low"
"2009","03","06",19.95,-156.16,0,"pieces/m3","0-0.0005","Very Low"
"2007","08","20",24.21,-149.32,0,"pieces/m3","0-0.0005","Very Low"
"2012","01","05",23.35,-144.31,0,"pieces/m3","0-0.0005","Very Low"
"2005","10","29",33.38,-156.38,0,"pieces/m3","0-0.0005","Very Low"
"2009","09","24",34.37,-143.7072,5.903267,"pieces/m3","1-10","High"
"2007","11","06",19.73,-146.63,0,"pieces/m3","0-0.0005","Very Low"
"2012","02","22",19.24,-143.41,0,"pieces/m3","0-0.0005","Very Low"
"2004","11","07",20.61,-155,0,"pieces/m3","0-0.0005","Very Low"
"2009","06","29",20.14,-148.94,0,"pieces/m3","0-0.0005","Very Low"
"2008","04","16",24.59,-143.47,0.041396,"pieces/m3","0.005-1","Medium"
"2012","10","17",28.41,-140.21,2.818452,"pieces/m3","1-10","High"
"2012","05","19",27.84,-140.77,0,"pieces/m3","0-0.0005","Very Low"
"2011","02","12",28.54,-140.09,0,"pieces/m3","0-0.0005","Very Low"
"2011","07","12",19.24,-156.55,0,"pieces/m3","0-0.0005","Very Low"
"2006","02","14",16.13,-162,0.00648,"pieces/m3","0.005-1","Medium"
"2008","03","03",33.02,-152.9,0,"pieces/m3","0-0.0005","Very Low"
"2009","10","29",24.52,-148.47,0,"pieces/m3","0-0.0005","Very Low"
"2009","05","27",25.28,-147,2.712124,"pieces/m3","1-10","High"
"2004","10","25",26.05,-141.2,0.00216,"pieces/m3","0.0005-0.005","Low"
"2008","06","03",15.94,-162.49,0,"pieces/m3","0-0.0005","Very Low"
"2008","10","26",19.8,-143.03,0,"pieces/m3","0-0.0005","Very Low"
"2006","07","13",22.11,-141.71,0,"pieces/m3","0-0.0005","Very Low"
"2011","06","02",25.94,-146.58,0.326132,"pieces/m3","0.005-1","Medium"
"2004","12","22",33.1,-149.63,0.00216,"pieces/m3","0.0005-0.005","Low"
"2009","10","16",32.84,-147.81,0,"pieces/m3","0-0.0005","Very Low"
"2003","04","28",19.13,-154.67,0,"pieces/m3","0-0.0005","Very Low"
"2005","05","13",33.1,-149.63,0.00216,"pieces/m3","0.0005-0.005","Low"
"2011","05","11",31.72,-144.77,0,"pieces/m3","0-0.0005","Very Low"
"2008","11","12",15.94,-162.49,0,"pieces/m3","0-0.0005","Very Low"
"2008","05","18",19.8,-143.03,0,"pieces/m3","0-0.0005","Very Low"
"2012","07","01",19.24,-143.41,0.452324,"pieces/m3","0.005-1","Medium"
"2011","10","19",25.94,-146.58,0.326132,"pieces/m3","0.005-1","Medium"
"2006","05","18",27.33,-142.18,0.003324,"pieces/m3","0.0005-0.005","Low"
"2009","07","02",19.95,-156.16,0,"pieces/m3","0-0.0005","Very Low"
"2005","03","01",19.62,-146.5,0.00216,"pieces/m3","0.0005-0.005","Low"
"2008","07","10",28.72,-140.03,0,"pieces/m3","0-0.0005","Very Low"
"2006","04","11",33.38,-156.38,0,"pieces/m3","0-0.0005","Very Low"
"2005","07","09",23.65,-149.74,0,"pieces/m3","0-0.0005","Very Low"
"2009","06","30",23.567,-160.4192,0.164343,"pieces/m3","0.005-1","Medium"
"2011","10","30",20.35,-154.67,0,"pieces/m3","0-0.0005","Very Low"
"2012","05","26",23.35,-144.31,0,"pieces/m3","0-0.0005","Very Low"
"2005","07","19",19.62,-146.5,0.00216,"pieces/m3","0.0005-0.005","Low"
"2012","04","26",33.47,-151.63,0,"pieces/m3","0-0.0005","Very Low"
"2008","02","04",33.7601,-160.4152,1.090297,"pieces/m3","1-10","High"
"2002","04","30",26.8,-166.54,0.35514,"pieces/m3","0.005-1","Medium"
"2005","02","16",23.65,-149.74,0,"pieces/m3","0-0.0005","Very Low"
"2011","07","09",20.35,-154.67,0,"pieces/m3","0-0.0005","Very Low"
"2009","05","29",25.35,-141.11,0,"pieces/m3","0-0.0005","Very Low"
"2008","12","18",28.72,-140.03,0,"pieces/m3","0-0.0005","Very Low"
"2007","11","11",19.2407,-155.1751,0.015673,"pieces/m3","0.005-1","Medium"
"2005","09","04",16.13,-162,0.00648,"pieces/m3","0.005-1","Medium"
"2005","12","19",19.62,-146.5,0.00216,"pieces/m3","0.0005-0.005","Low"
"2011","03","10",18.97,-143.47,0.0108,"pieces/m3","0.005-1","Medium"
"2007","07","14",33.02,-152.9,0,"pieces/m3","0-0.0005","Very Low"
"2011","12","07",33.1,-156.49,0,"pieces/m3","0-0.0005","Very Low"
"2004","09","16",27.84,-140.77,0.0024,"pieces/m3","0.0005-0.005","Low"
"2007","11","28",20.27,-156.47,0,"pieces/m3","0-0.0005","Very Low"
"2004","04","19",20.61,-155,0.009256,"pieces/m3","0.005-1","Medium"
"2009","03","03",20.14,-148.94,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","23",26.21,-144.53,0.615428,"pieces/m3","0.005-1","Medium"
"2011","10","04",33.47,-151.63,0.00864,"pieces/m3","0.005-1","Medium"
"2006","12","11",33.06,-148.13,0,"pieces/m3","0-0.0005","Very Low"
"2007","03","30",16.36,-159.94,0.016196,"pieces/m3","0.005-1","Medium"
"2008","12","09",33.09,-156.27,0.00266,"pieces/m3","0.0005-0.005","Low"
"1973","02","10",31.033,-155.067,0.001,"pieces/m3","0.0005-0.005","Low"
"2007","03","07",20.15,-147.77,0,"pieces/m3","0-0.0005","Very Low"
"2005","06","03",25.68,-143.09,0,"pieces/m3","0-0.0005","Very Low"
"2005","11","07",33.1,-149.63,0.00216,"pieces/m3","0.0005-0.005","Low"
"2002","04","18",18.54,-170.6,0.00432,"pieces/m3","0.0005-0.005","Low"
"2010","10","26",19.96,-146.64,0.00216,"pieces/m3","0.0005-0.005","Low"
"2003","11","01",22.99,-148.78,0.01944,"pieces/m3","0.005-1","Medium"
"2005","03","04",20.61,-155,0,"pieces/m3","0-0.0005","Very Low"
"2010","10","20",23.52,-141.63,0,"pieces/m3","0-0.0005","Very Low"
"2004","01","04",29.98,-140,0.0108,"pieces/m3","0.005-1","Medium"
"2008","12","14",32.37,-146.51,0,"pieces/m3","0-0.0005","Very Low"
"2008","10","30",19.73,-146.63,0,"pieces/m3","0-0.0005","Very Low"
"2009","08","21",33.56,-152.27,0,"pieces/m3","0-0.0005","Very Low"
"2009","08","08",33.26,-156.98,0,"pieces/m3","0-0.0005","Very Low"
"2004","12","26",31.54,-143.82,0,"pieces/m3","0-0.0005","Very Low"
"2009","09","17",30.8125,-158.6852,1.07848,"pieces/m3","1-10","High"
"2003","07","06",24.08,-156.87,0.036716,"pieces/m3","0.005-1","Medium"
"2005","12","24",20.27,-156.47,0,"pieces/m3","0-0.0005","Very Low"
"2011","06","04",24.73,-139.58,0,"pieces/m3","0-0.0005","Very Low"
"2006","12","19",29.37,-139.91,0,"pieces/m3","0-0.0005","Very Low"
"2003","12","06",16.28,-160.37,0.01728,"pieces/m3","0.005-1","Medium"
"2008","05","26",19.73,-146.63,0,"pieces/m3","0-0.0005","Very Low"
"2009","06","25",18.97,-143.47,0.0108,"pieces/m3","0.005-1","Medium"
"2010","08","04",33.56,-152.27,0,"pieces/m3","0-0.0005","Very Low"
"2006","05","10",33.08,-147.02,0,"pieces/m3","0-0.0005","Very Low"
"2005","05","17",31.54,-143.82,0,"pieces/m3","0-0.0005","Very Low"
"2011","10","22",24.73,-139.58,0,"pieces/m3","0-0.0005","Very Low"
"2012","06","27",22.76,-141.69,0.154596,"pieces/m3","0.005-1","Medium"
"2006","05","13",29.37,-139.91,0,"pieces/m3","0-0.0005","Very Low"
"2004","11","30",16.88,-159.15,0,"pieces/m3","0-0.0005","Very Low"
"2009","11","06",18.97,-143.47,0.0108,"pieces/m3","0.005-1","Medium"
"2008","07","04",33.06,-148.13,0,"pieces/m3","0-0.0005","Very Low"
"2007","03","12",20.27,-156.47,0,"pieces/m3","0-0.0005","Very Low"
"2012","02","14",22.76,-141.69,0,"pieces/m3","0-0.0005","Very Low"
"2003","10","28",27.84,-140.77,0,"pieces/m3","0-0.0005","Very Low"
"2005","11","13",29.37,-139.91,0,"pieces/m3","0-0.0005","Very Low"
"2005","03","09",16.88,-159.15,0,"pieces/m3","0-0.0005","Very Low"
"2010","10","23",18.97,-143.47,0.0108,"pieces/m3","0.005-1","Medium"
"2006","10","17",20.27,-156.47,0,"pieces/m3","0-0.0005","Very Low"
"2004","01","22",27.84,-140.77,0.00216,"pieces/m3","0.0005-0.005","Low"
"2009","04","18",33.56,-152.27,0,"pieces/m3","0-0.0005","Very Low"
"2008","03","07",33.06,-148.13,0,"pieces/m3","0-0.0005","Very Low"
"2009","09","13",31.1583,-160.2433,5.042277,"pieces/m3","1-10","High"
"2005","12","22",20.6,-154.81,0,"pieces/m3","0-0.0005","Very Low"
"2003","12","02",20.61,-155,0,"pieces/m3","0-0.0005","Very Low"
"2004","10","19",23.35,-144.31,0,"pieces/m3","0-0.0005","Very Low"
"2007","02","14",24.59,-143.47,0.041396,"pieces/m3","0.005-1","Medium"
"2009","05","18",26.6,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2011","10","12",27.84,-140.77,0.0024,"pieces/m3","0.0005-0.005","Low"
"2004","12","16",33.1,-156.49,0,"pieces/m3","0-0.0005","Very Low"
"2007","12","04",16.36,-159.94,0.016196,"pieces/m3","0.005-1","Medium"
"2009","12","29",17.55,-158.31,0.011996,"pieces/m3","0.005-1","Medium"
"2012","03","29",19.24,-156.55,0,"pieces/m3","0-0.0005","Very Low"
"2005","03","11",16.13,-162,0.00648,"pieces/m3","0.005-1","Medium"
"2006","07","28",19.62,-146.5,0.00216,"pieces/m3","0.0005-0.005","Low"
"2006","12","05",33.02,-152.9,0,"pieces/m3","0-0.0005","Very Low"
"2004","05","31",33.47,-151.63,0.00864,"pieces/m3","0.005-1","Medium"
"2009","04","16",33.09,-156.27,0.00266,"pieces/m3","0.0005-0.005","Low"
"2009","09","25",34.6502,-142.2878,4.690983,"pieces/m3","1-10","High"
"2004","04","10",19.96,-146.64,0,"pieces/m3","0-0.0005","Very Low"
"2009","02","28",19.51,-144.23,0,"pieces/m3","0-0.0005","Very Low"
"2007","07","26",28.41,-140.21,0,"pieces/m3","0-0.0005","Very Low"
"2005","01","19",27.84,-140.77,0.0024,"pieces/m3","0.0005-0.005","Low"
"2011","04","24",32.35,-155.1,0,"pieces/m3","0-0.0005","Very Low"
"2008","07","05",32.37,-146.51,0,"pieces/m3","0-0.0005","Very Low"
"2005","11","09",33.08,-147.02,0,"pieces/m3","0-0.0005","Very Low"
"2009","11","03",23.52,-141.63,0,"pieces/m3","0-0.0005","Very Low"
"2005","02","26",21.15,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2012","06","22",24.37,-147.78,0.024968,"pieces/m3","0.005-1","Medium"
"2008","05","13",26.14,-143.12,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","12",33.1,-149.63,0.165976,"pieces/m3","0.005-1","Medium"
"2011","07","05",19.43,-145.47,0.00432,"pieces/m3","0.0005-0.005","Low"
"2011","02","23",22.99,-148.78,0,"pieces/m3","0-0.0005","Very Low"
"2005","12","07",24.37,-147.78,0.892728,"pieces/m3","0.005-1","Medium"
"2012","10","26",19.24,-143.41,0.311752,"pieces/m3","0.005-1","Medium"
"2011","03","28",20.35,-154.67,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","27",20.15,-147.77,0.181424,"pieces/m3","0.005-1","Medium"
"2004","03","04",25.94,-146.58,0,"pieces/m3","0-0.0005","Very Low"
"2009","05","31",23.52,-141.63,0,"pieces/m3","0-0.0005","Very Low"
"2007","03","01",22.11,-141.71,0,"pieces/m3","0-0.0005","Very Low"
"2010","08","18",32.84,-147.81,0,"pieces/m3","0-0.0005","Very Low"
"2004","01","01",31.72,-144.77,0,"pieces/m3","0-0.0005","Very Low"
"2012","07","04",20.15,-147.77,0.467188,"pieces/m3","0.005-1","Medium"
"2010","10","06",29.98,-140,0,"pieces/m3","0-0.0005","Very Low"
"2012","04","27",33.1,-149.63,0.03142,"pieces/m3","0.005-1","Medium"
"2009","07","03",17.55,-158.31,0.011996,"pieces/m3","0.005-1","Medium"
"2003","10","24",31.72,-144.77,0,"pieces/m3","0-0.0005","Very Low"
"2007","10","26",22.11,-141.71,0,"pieces/m3","0-0.0005","Very Low"
"2010","10","16",25.94,-146.58,0.326132,"pieces/m3","0.005-1","Medium"
"2006","04","14",33.02,-152.9,0,"pieces/m3","0-0.0005","Very Low"
"2011","01","06",32.84,-147.81,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","20",23.35,-144.31,0.591576,"pieces/m3","0.005-1","Medium"
"2006","05","19",24.59,-143.47,0.041396,"pieces/m3","0.005-1","Medium"
"2003","11","08",25.94,-146.58,0,"pieces/m3","0-0.0005","Very Low"
"2011","02","26",25.94,-146.58,0.326132,"pieces/m3","0.005-1","Medium"
"2010","11","02",17.55,-158.31,0.011996,"pieces/m3","0.005-1","Medium"
"2012","07","08",19.24,-156.55,0.062184,"pieces/m3","0.005-1","Medium"
"2003","11","19",19.96,-146.64,0,"pieces/m3","0-0.0005","Very Low"
"2011","10","16",23.35,-144.31,0,"pieces/m3","0-0.0005","Very Low"
"2009","05","15",28.72,-140.03,0,"pieces/m3","0-0.0005","Very Low"
"2011","10","09",29.98,-140,0,"pieces/m3","0-0.0005","Very Low"
"2004","12","20",33.47,-151.63,0.00864,"pieces/m3","0.005-1","Medium"
"2010","06","06",15.25,-157.55,0,"pieces/m3","0-0.0005","Very Low"
"2012","04","01",16.13,-162,0.00648,"pieces/m3","0.005-1","Medium"
"2004","05","24",33.1,-156.49,0,"pieces/m3","0-0.0005","Very Low"
"2007","08","08",24.59,-143.47,0.041396,"pieces/m3","0.005-1","Medium"
"2009","10","23",26.6,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2012","01","02",27.84,-140.77,0.0024,"pieces/m3","0.0005-0.005","Low"
"2011","11","03",19.24,-156.55,0,"pieces/m3","0-0.0005","Very Low"
"2002","04","02",19.09,-156.24,0.021372,"pieces/m3","0.005-1","Medium"
"2003","12","22",33.47,-151.63,0,"pieces/m3","0-0.0005","Very Low"
"2010","10","13",22.99,-148.78,0,"pieces/m3","0-0.0005","Very Low"
"2005","07","10",24.37,-147.78,0.892728,"pieces/m3","0.005-1","Medium"
"2007","10","17",25.69,-141.14,0,"pieces/m3","0-0.0005","Very Low"
"2011","02","11",29.98,-140,0,"pieces/m3","0-0.0005","Very Low"
"2012","11","01",16.13,-162,4.569056,"pieces/m3","1-10","High"
"2003","11","11",24.73,-139.58,0,"pieces/m3","0-0.0005","Very Low"
"2005","07","16",21.15,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2008","12","21",26.6,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2008","10","20",26.14,-143.12,0,"pieces/m3","0-0.0005","Very Low"
"2008","12","30",24.21,-149.32,0,"pieces/m3","0-0.0005","Very Low"
"2004","03","31",24.73,-139.58,0,"pieces/m3","0-0.0005","Very Low"
"2006","05","28",24.37,-147.78,0.892728,"pieces/m3","0.005-1","Medium"
"2006","06","06",25.69,-141.14,0,"pieces/m3","0-0.0005","Very Low"
"2012","05","15",31.54,-143.82,0.235464,"pieces/m3","0.005-1","Medium"
"2009","07","12",34.4452,-176.4782,1.546751,"pieces/m3","1-10","High"
"2008","01","29",33.0118,-167.9233,0.945924,"pieces/m3","0.005-1","Medium"
"2009","07","09",34.9987,-171.8237,0.676039,"pieces/m3","0.005-1","Medium"
"2004","10","26",24.73,-139.58,0,"pieces/m3","0-0.0005","Very Low"
"2004","10","29",21.15,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2007","02","22",25.69,-141.14,0,"pieces/m3","0-0.0005","Very Low"
"2011","07","17",15.25,-157.55,0,"pieces/m3","0-0.0005","Very Low"
"2008","04","26",24.21,-149.32,0,"pieces/m3","0-0.0005","Very Low"
"2003","12","20",33.1,-156.49,0,"pieces/m3","0-0.0005","Very Low"
"2012","10","15",31.54,-143.82,0.124464,"pieces/m3","0.005-1","Medium"
"2005","02","21",24.73,-139.58,0,"pieces/m3","0-0.0005","Very Low"
"2010","10","10",26.6,-142.77,0,"pieces/m3","0-0.0005","Very Low"
"2011","04","10",15.25,-157.55,0,"pieces/m3","0-0.0005","Very Low"
"2008","10","18",24.21,-149.32,0,"pieces/m3","0-0.0005","Very Low"
"2005","12","10",25.69,-141.14,0,"pieces/m3","0-0.0005","Very Low"
"2011","05","15",27.84,-140.77,0.0024,"pieces/m3","0.0005-0.005","Low"
"2003","08","17",33.1,-156.49,0.002096,"pieces/m3","0.0005-0.005","Low"
"2012","07","11",16.13,-162,0.027992,"pieces/m3","0.005-1","Medium"
"2003","11","16",18.97,-143.47,0,"pieces/m3","0-0.0005","Very Low"
"2003","07","07",26.59,-156.82,0.008696,"pieces/m3","0.005-1","Medium"
"2006","07","09",24.03,-138.44,0,"pieces/m3","0-0.0005","Very Low"
"2011","06","03",26.05,-141.2,0.00216,"pieces/m3","0.0005-0.005","Low"
"2009","09","01",32.76,-150.21,0,"pieces/m3","0-0.0005","Very Low"
"2004","12","24",33.08,-147.02,0,"pieces/m3","0-0.0005","Very Low"
"2006","10","19",18.46,-157.58,0.0108,"pieces/m3","0.005-1","Medium"
"2009","10","27",22.99,-148.78,0,"pieces/m3","0-0.0005","Very Low"
"2011","07","10",20.61,-155,0,"pieces/m3","0-0.0005","Very Low"
"2005","02","17",24.37,-147.78,0.892728,"pieces/m3","0.005-1","Medium"
"2008","06","28",33.26,-156.98,0,"pieces/m3","0-0.0005","Very Low"
"2004","11","19",19.24,-156.55,0,"pieces/m3","0-0.0005","Very Low"
"2009","06","30",20.57,-154.86,0.0108,"pieces/m3","0.005-1","Medium"
"2008","04","19",23.15,-144.69,0,"pieces/m3","0-0.0005","Very Low"
"2012","05","20",25.68,-143.09,0,"pieces/m3","0-0.0005","Very Low"
"2008","05","20",19.51,-144.23,0,"pieces/m3","0-0.0005","Very Low"
"2012","06","29",21.15,-142.77,0.40792,"pieces/m3","0.005-1","Medium"
"2006","05","17",28.41,-140.21,0,"pieces/m3","0-0.0005","Very Low"
"2011","05","12",29.98,-140,0,"pieces/m3","0-0.0005","Very Low"
"2007","11","12",19.9206,-154.6866,0.080119,"pieces/m3","0.005-1","Medium"
"2005","12","16",19.24,-143.41,0,"pieces/m3","0-0.0005","Very Low"
"2008","01","23",21.6509,-160.5405,0.080591,"pieces/m3","0.005-1","Medium"
"2011","12","11",33.1,-149.63,0.00216,"pieces/m3","0.0005-0.005","Low"
"2011","12","08",32.35,-155.1,0,"pieces/m3","0-0.0005","Very Low"
"2009","02","19",23.52,-141.63,0,"pieces/m3","0-0.0005","Very Low"
"2009","02","16",26.14,-143.12,0,"pieces/m3","0-0.0005","Very Low"
"2009","05","14",31.06,-143.46,0.00216,"pieces/m3","0.0005-0.005","Low"
"2005","07","17",19.24,-143.41,0,"pieces/m3","0-0.0005","Very Low"
"2002","04","21",23.89,-174.74,0.00218,"pieces/m3","0.0005-0.005","Low"
"2002","05","17",33.93,-151.55,0.227176,"pieces/m3","0.005-1","Medium"
"2012","04","24",32.35,-155.1,0.002476,"pieces/m3","0.0005-0.005","Low"
"2008","02","01",32.4721,-166.1064,0.250889,"pieces/m3","0.005-1","Medium"
"2005","07","20",20.15,-147.77,0,"pieces/m3","0-0.0005","Very Low"
"2009","05","28",26.14,-143.12,0,"pieces/m3","0-0.0005","Very Low"
